id;description;VIO
998375476867542;die Rede von AKIF hätte nich sein dürfen !!!;nothing
861981633840261;Es gibt ein offizielles Positionspapier, am besten googeln :);nothing
857809927590765;versteh ich auch nicht;nothing
946265678745189;Ne wumme für Seppl ne bombe für Hubert Waffen für alle. Reden hilft ja nicht viel also lasst es knallen am besten bei den Bonzen und dann immer weiter;call2violence
861986343839790;liebe Ossis dann lasst uns zeigen für fahimi özdemir Maas Steinmeier Merkel und Co das wir uns nicht für dumm verkaufen lassen . Sachsen hat Recht ....... Auf zur Wende;nothing
925541027484321;Bei der letzten PEGIDA demo am 07.06. waren 2000 Mann ? Kann man jetzt schon in die Zukunft sehen ?;nothing
998368493534907;"Freunde, wie versprochen hier nun das dritte Video von Montag Abend. 

Viel Spaß beim Anschauen. 

#PEGIDA #DresdnerThesen #MontagsInDeutschland #DresdenZeigtWiesGeht #PEGIDADieEchteAlternative #MontagIstPegidaTag 

https://youtu.be/KmjD9tHB8ak";nothing
1010805915624498;Holla, bin hier zum ersten Mal auf der Seite. Hier ist 's sehr aggressiv und laut, doch wo sind eure Alternativen? Lasse mich gerne inspirieren und informieren!;nothing
1010749522296804;Siegfried: so ist es, diese handy- und Spaßgesellschaft ist verweichlicht.;nothing
861943823844042;Pegida wird sich genauso auflösen wie Leipzig, ihr werdet sehen;nothing
856832547688503;"Rachid Ait@
In zwei Jahren vegetierst du wieder in der Wüste vor dich hin...dort wo du hingehörst...lol";nothing
857160437655714;[@IND] viele Politiker haben mehr dreck am stecken.. Bachmann hat Pille Palle dagegen gemacht.. Einer der CDU name wenn gewünscht nachgereicht.. Hat ein Mensch besoffen überfahren (TOT) und Joschka? Hat ihn seine vergangeheit eingeholt? NÖ!!!  Kinderficker.. sitzen in Brüssel..sage nur Bendit!! Was sagst du dazu?;nothing
1012913745413715;Nur er darf so etwas aussprechen...;nothing
1010774828960940;Die Bundeswehr kann uns auch nicht helfen ist alles kaputt und die Kindergärten machen um fünf zu, am Wochenende sind se zu hause um die Altbarby hat von nix Ahnung, wir sind beschissen dran;nothing
855463011158790;"Was sind denn jetzt ""Pinats"" ???";nothing
1105988062772949;Gibt es nicht bei DD wilder mann schon sowas?;nothing
993921707312919;"Julia Timoschenko wurde in der ""demokratischen"" Ukraine für geringere Vergehen in den Knast gesteckt... Schon vergessen???";nothing
