"";"id";"description";"DBO"
"5629";855055954532829;"Leider, gerade bei solchen Sachen sollte man sich nicht kaufen lassen!";"nothing"
"5593";1010768035628286;"Vie, viel zu wenige in dieser großen Stadt!";"nothing"
"1040";1063714493666973;"Iris Frühling na Gott sei Dank! Aber der Trend geht nach unten. Denn diese Regierung sorgt schon dafür! Darum wähle ich die AfD, damit die Kinder und Familienpolitik oberste Priorität hat. Die kleinste Keimzelle eines Staates ist die Familie!";"nothing"
"8883";945876298784127;"Werdet schon sehen was ihr davon habt";"nothing"
"5108";876318635739894;"SIE urteilen gerade über mich merken Sie das ? 

 naja klar kein wunder...kennen nicht ein krümel meines lebens der übrigens nichts zur sache tut denn hier herrscht ja wohl offiziell meinungsfreiheit...
Aber so herablassend lasse ich mit mir nicht reden. 
Ich rate Ihnen kommen Sie von Ihrem hohen ross herunter... Distanz-und respektlos aber so nen kommentar posten. Mein beileid. Ehrlich.";"nothing"
"6375";883211168383974;"Asylantenkriminallität,  was ist das,  gibt´s doch gar nicht !!!!!!";"nothing"
"2023";1111614508876971;"Richtig Dresden und weiter so.Gruß aus Polen:)";"nothing"
"4051";985372974834459;"Ich liebe dieses PACK !!!!!";"nothing"
"9235";991290890909334;"So viele liebe wessis (sehr lieb gemeint) die sich hier bedanken und mit umzugsgedanken splielen.dann kommt bitte schnell ehe all die schönen Wohnungen von diversen fachkräften bezogen werden.oh weh oh weh gelinde ausgedrückt";"nothing"
"9003";991274667577623;"Zeit ist kurz wir müssen handeln !";"nothing"
"6524";882692828435808;"Da sieht man ja doch wie schnell sie zum Messer greifen wenn was gegen ihren strich geht.";"nothing"
"814";1063351790369910;"nehmt euch bitte ein beispiel und stecht euch auch gegenseitig tot...meinetwegen auch massenhaft und öffentlich vor der semperoper oder wo immer ihr lust habt!
nur ein toter rassist ist ein guter bürger!";"nothing"
"1475";862029973835427;"wir können ja wenigstens helfen das wir jeden deuschen obdachlosen eine decke schenken tun";"nothing"
"3874";1038630682842021;"Der PEGIDAwarnminister Maas klappert das Internet ab nach Hasskommentaren von Pegidaanhängern. Die Verabredung zur Gewalt zu Sylvester von Migranten übersieht er dabei geflissentlich. Genauso wie die Gewaltaufrufe der Antifa.";"criticism"
"6258";882870878418003;"Initiative ""Rache für Khaled"" noch nicht aktiv?";"nothing"
"894";1064188443619578;"In der DDR hieß das Gymnasium ,EOS  -Erweiterte Oberschule----Abschluss Abitur.";"nothing"
"6404";882778671760557;"Die haben sich bestimmt gestritten, wer das Geschrirr in der Küche spülen muß.";"nothing"
"4978";876334312404993;"Fachkenntnisse? Welche Fachkenntnisse haben diese Migranten? Arabisch sprechen und gut Eselrteiten";"nothing"
"6715";1018200758218347;"Reiner Hausmann Ich bin nicht in der Kirche. Die ist doch auch nicht besser und hat für mich auch noch nie was getan.";"nothing"
"7378";887990544572703;"Frankreich das Land was die Revolution erfunden hat .";"nothing"
"8565";945437185494705;"Besser kann es nicht geschrieben werden";"nothing"
"7430";1080371485334607;"??? ??? Ohjaaaaa wie Recht du hast !";"nothing"
"4162";985375671500856;"Es sieht wunderschön aus... Genau wie damals. Weiter so...";"nothing"
